"","Player","Position","Points","Total.Rebounds","Assists","Steals","Blocks","Missed.Field.Goals","Missed.Free.Throws","Turnovers","Games.Played","Efficiency.Index","Salary..."
"202","Jeff Green","SF",293,91,40,18,21,153,25,24,27,0.755598858302257,9200000
"203","Jeff Teague","PG",1239,214,470,97,24,554,51,218,79,1.21610828511059,8e+06
"204","Jeff Withey","C",217,173,20,21,53,75,16,28,51,1.13805421446537,947276
"205","Jerami Grant","SF",749,361,135,54,127,348,110,110,77,1.15433509868015,845059
"206","Jeremy Evans","SF",71,54,2,6,9,22,6,7,30,0.496368819744831,1100602
"207","Jeremy Lamb","SG",580,252,77,42,30,280,24,50,66,1.80477949809934,3034356
"208","Jeremy Lin","SG",914,253,235,58,42,428,54,150,78,1.40559844895394,2100000
"209","Jerian Grant","PG",426,143,177,50,10,237,27,87,76,0.630011195696298,1572360
"210","Jerryd Bayless","SG",541,141,163,47,11,252,20,73,52,1.53389430253575,3e+06
"211","Jimmer Fredette","SG",7,0,0,0,0,0,1,1,2,-0.553267026330905,59731
"212","Jimmy Butler","SG",1399,358,321,110,43,565,80,132,67,3.0052834896722,15260000
"213","Joakim Noah","C",124,255,110,18,29,82,23,52,29,2.06167906494658,13400000
"214","Jodie Meeks","SG",22,5,3,0,0,13,0,1,3,0.415818946609576,6270000
"215","Joe Ingles","SF",342,151,96,55,4,167,5,65,81,0.752757679176119,2250000
"216","Joe Johnson","SF",321,68,86,21,2,121,8,43,24,1.23206609771015,414481
"217","Joel Anthony","C",18,21,1,2,12,4,2,2,19,0.51640156604091,2500000
"218","Joffrey Lauvergne","C",465,290,56,13,15,185,7,54,59,0.779605843338419,1709720
"219","John Henson","C",397,221,54,18,109,127,48,64,57,1.28701438698117,2943221
"220","John Jenkins","SG",109,35,26,5,1,48,3,16,22,0.526518051126285,981000
"221","John Wall","PG",1531,379,789,145,59,777,72,318,77,2.57095396097916,15851950
"222","Johnny O'Bryant","PF",200,176,32,18,8,123,13,31,66,0.34857995678028,845059
"223","Jon Leuer","PF",567,373,72,38,30,242,24,75,67,1.04318388315873,1035000
"224","Jonas Jerebko","PF",340,288,62,20,24,168,17,52,78,0.619466424590179,5e+06
"225","Jonas Valanciunas","C",768,547,42,25,80,233,51,85,60,1.65511922414042,4660482
"226","Jonathon Simmons","SG",331,96,58,24,5,120,23,53,55,0.425969664797427,525093
"227","Jordan Adams","SG",7,2,3,3,0,4,2,2,2,0.27959197248424,1404600
"228","Jordan Clarkson","SG",1225,313,192,88,7,623,40,135,79,1.28446441010794,845059
"229","Jordan Farmar","PG",110,25,37,15,2,58,0,18,12,1.35158691407534,191456
"230","Jordan Hamilton","SF",125,62,25,8,3,67,7,17,11,1.00672348009142,119462
"231","Jordan Hill","C",645,451,87,36,37,271,36,92,73,1.06402848403724,4e+06
"232","Jordan McRae","PG",62,12,15,0,1,29,4,9,15,-0.0159346339915043,172972
"233","Jordan Mickey","PF",21,13,1,0,11,14,5,1,16,0.264208592548876,1200000
"234","Jorge Gutierrez","PG",22,7,17,3,0,5,1,6,12,0.322888122961726,301444
"235","Jose Calderon","PG",544,229,299,63,7,246,6,87,72,1.59690062266498,7402812
"236","Josh Huestis","PF",14,10,0,1,2,7,4,3,5,-0.35192784434342,1140240
"237","Josh McRoberts","PF",150,105,81,18,7,93,12,30,42,0.721309557668374,5543725
"238","Josh Richardson","SG",341,107,73,36,25,149,21,35,52,1.49423610699372,525093
"239","Josh Smith","PF",151,67,48,16,13,111,13,36,23,0.344398869943766,1499000
"240","Jrue Holiday","PG",1089,195,391,88,22,525,34,167,65,1.51645783480651,10595507
"241","Julius Randle","PF",919,829,144,53,29,477,77,149,81,0.825181725155374,3132240
"242","Justin Anderson","SF",208,132,29,19,25,104,11,24,55,0.789856631037069,1449000
"243","Justin Harper","PF",13,1,0,1,0,6,1,2,5,-0.223941427300932,99418
"244","Justin Holiday","SG",176,63,45,19,15,91,5,26,27,1.77123412165203,947300
"245","Justise Winslow","SF",502,403,117,68,26,267,37,95,78,1.21946513637445,2481720
"246","Jusuf Nurkic","C",263,175,40,24,44,141,38,55,32,1.00421579410079,1842000
"247","K.J. McDaniels","SF",89,42,10,7,6,43,6,17,37,0.170515529566336,3333333
"248","Karl-Anthony Towns","C",1503,857,161,58,138,528,52,183,82,2.31359173388316,5703600
"249","Kawhi Leonard","SF",1523,493,186,128,71,539,42,105,72,3.14923541355021,16500000
"250","Keith Appling","PG",6,1,1,1,0,6,0,3,5,-0.114115468763475,161776
"251","Kelly Olynyk","C",687,281,105,52,33,303,32,74,69,1.25982595599351,2165160
"252","Kelly Oubre","SF",236,133,13,22,7,121,18,34,63,0.245524392460104,1920240
"253","Kemba Walker","PG",1689,357,421,126,39,763,67,171,81,2.07674106882168,1.2e+07
"254","Kendall Marshall","PG",111,28,73,16,2,75,4,43,30,0.267421558091997,2144722
"255","Kendrick Perkins","C",91,128,31,11,11,35,14,41,37,0.415278153257141,1499200
"256","Kenneth Faried","PF",835,581,79,32,60,277,86,91,67,1.00640470696181,11235955
"257","Kent Bazemore","SF",872,379,171,98,38,405,28,138,75,1.68907107886218,2e+06
"258","Kentavious Caldwell-Pope","SG",1105,282,138,110,17,557,43,105,76,1.63943255345706,2891760
"259","Kevin Durant","SF",2029,589,361,69,85,683,51,250,72,2.73275016457983,20158622
"260","Kevin Garnett","PF",122,150,62,28,10,61,7,16,38,1.59973630246081,8500000
"261","Kevin Love","PF",1234,762,186,58,41,568,56,142,77,1.50159191165655,19500000
"262","Kevin Martin","SG",99,29,12,9,2,55,2,13,16,0.719867460134811,317475
"263","Kevin Seraphin","C",187,126,47,8,36,121,4,43,48,0.515694858489481,2800000
"264","Kevon Looney","PF",9,10,0,0,0,3,0,1,5,0.202845147521419,1131960
"265","Khris Middleton","SG",1434,302,331,131,19,635,35,180,79,2.32577614600896,1.5e+07
"266","Kirk Hinrich","PG",5,12,14,2,1,9,0,3,11,0.524152600776159,2870000
"267","Klay Thompson","SG",1771,306,166,60,49,735,28,138,80,2.02460660095889,15500000
"268","Kobe Bryant","SF",1161,247,184,62,13,715,49,129,66,0.270698396790742,2.5e+07
"269","Kosta Koufos","C",529,423,33,40,70,208,47,48,78,1.28042835270864,7500000
"270","Kostas Papanikolaou","SF",67,40,16,13,5,42,5,21,26,0.338163209498908,350000
"271","Kris Humphries","PF",134,71,13,10,7,54,13,14,21,0.483861047143674,388025
"272","Kristaps Porzingis","PF",1028,526,93,53,134,513,39,121,72,1.85300653921237,4131720
"273","Kyle Anderson","SF",350,244,123,60,29,157,21,59,78,1.28975491199616,1142879
"274","Kyle Korver","SG",739,260,164,60,35,348,9,98,80,1.98665517227792,5746479
"275","Kyle Lowry","PG",1634,365,494,158,34,686,93,225,77,2.10365377017446,1.2e+07
"276","Kyle O'Quinn","PF",309,250,72,20,49,142,14,61,65,0.954987986299695,3750000
"277","Kyle Singler","SF",231,141,24,30,9,135,15,32,68,0.423576410161124,5e+06
"278","Kyrie Irving","PG",1041,157,249,56,18,485,22,124,53,1.30572831090162,14746000
"279","Lamar Patterson","SG",84,50,39,9,2,52,6,23,35,0.436691862351816,525093
"280","LaMarcus Aldridge","PF",1331,632,110,38,81,509,43,99,74,1.85251285509852,19500000
"281","Lance Stephenson","SF",369,115,73,19,6,162,15,46,26,0.997690821723318,9e+06
"282","Lance Thomas","PF",484,131,53,22,7,213,17,57,59,0.186694714203938,1650000
"283","Langston Galloway","PG",625,288,207,77,22,357,28,61,82,1.56228784544524,845059
"284","Larry Nance Jr.","PF",349,312,44,54,23,142,15,41,63,1.50476162224546,1155600
"285","Lavoy Allen","PF",428,424,76,26,42,179,27,69,79,0.9734748947683,3700000
"286","Leandro Barbosa","SG",433,117,82,44,10,199,10,53,68,1.00535969402326,2500000
"287","LeBron James","SF",1920,565,514,104,49,679,132,249,76,2.0536053885537,22971000
"288","Lorenzo Brown","PG",20,7,11,3,1,17,1,9,8,0.172620206438506,111444
"289","Lou Amundson","PF",52,49,12,6,7,34,13,15,29,-0.0382896543412889,1650000
"290","Lou Williams","SG",1028,169,167,62,19,410,72,107,67,0.723354320615082,7e+06
"291","Luc Mbah a Moute","PF",231,171,30,44,19,113,27,34,75,0.609197796585107,1270964
"292","Lucas Nogueira","C",65,46,7,12,12,16,7,11,29,0.680897863440491,1842000
"293","Luis Montero","SG",14,4,1,0,0,14,1,4,12,-0.241971410470035,525093
"294","Luis Scola","PF",664,360,66,46,27,329,23,68,76,0.925006197161324,3e+06
"295","Luke Babbitt","SF",327,148,53,11,7,167,11,23,47,0.710313355041633,1100000
"296","Luol Deng","PF",911,443,140,74,29,406,47,81,74,1.52285143354712,10151612
"297","Manu Ginobili","SG",555,146,177,66,11,238,21,99,58,1.54104090193022,2814000
"298","Marc Gasol","C",861,362,196,50,70,379,42,118,52,2.23592887903699,19700000
"299","Marcelo Huertas","PG",237,90,182,26,7,133,2,80,53,0.76552341689874,525093
"300","Marcin Gortat","C",1012,741,106,47,96,331,61,121,75,2.04678948844976,11217391
"301","Marco Belinelli","SG",696,117,127,37,2,390,23,80,68,0.340782807922376,6333333
"302","Marcus Morris","SF",1131,404,201,67,23,535,68,140,80,0.846876204443591,5e+06
"303","Marcus Smart","PG",558,255,185,91,18,345,37,80,61,1.69607614289586,3431040
"304","Marcus Thornton","SG",118,35,19,13,1,65,5,11,14,1.04017174283114,251107
